"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
1;52,5553844763892;0,983016440779553;0,932574997659173;0,91673655495892;7868,7407817103;0,449882;1,80119384242596e-12;2,645388;0;1;12;5;"SMJYB01_20220408_165202.wav";2022-04-08 16:57:02
1;52,6081910598231;0,983038440935663;0,932667341994474;0,916847849785857;7870,86146593832;0,467752;1,80167960537348e-12;2,611579;0;1;13;1;"SMJYB01_20220408_172202.wav";2022-04-08 17:47:02
1;52,6340619654687;0,983041130294419;0,932768991878281;0,916950284079611;7870,30612016685;0,462464;1,80326341019952e-12;2,621452;0;1;13;2;"SMJYB01_20220408_172202.wav";2022-04-08 17:42:02
1;52,5912927086497;0,983030166719729;0,932502482013197;0,916678070359994;7874,72412552809;0,46538;1,80288586253941e-12;2,615746;0;1;13;3;"SMJYB01_20220408_172202.wav";2022-04-08 17:37:02
1;52,5860662129918;0,983017391102945;0,932457807182727;0,916622240930338;7869,44146827645;0,457585;1,80063830644487e-12;2,630724;0;1;13;4;"SMJYB01_20220408_172202.wav";2022-04-08 17:32:02
1;52,5810006093733;0,983034240105131;0,932476258546196;0,916656090236035;7868,95708603968;0,47591;1,80278680259008e-12;2,59647;0;1;13;5;"SMJYB01_20220408_172202.wav";2022-04-08 17:27:02
1;52,5418470932603;0,983042825432655;0,932392822019857;0,916582074171527;7869,84376212947;0,484551;1,80341833082219e-12;2,5806;0;1;14;1;"SMJYB01_20220408_175202.wav";2022-04-08 18:17:02
1;52,4691672231569;0,983051975003733;0,931913750391642;0,91611965285564;7870,82808522728;0,459778;1,80245003317542e-12;2,626285;0;1;14;2;"SMJYB01_20220408_175202.wav";2022-04-08 18:12:02
1;52,4825994005776;0,983030191713187;0,932020776929161;0,916204563025347;7863,53084378337;0,468491;1,80272933261895e-12;2,610089;1;1;14;3;"SMJYB01_20220408_175202.wav";2022-04-08 18:07:02
1;52,5269672743894;0,98302919415867;0,932231156682603;0,916410442723304;7870,52709620849;0,461003;1,80156163162288e-12;2,624001;0;1;14;4;"SMJYB01_20220408_175202.wav";2022-04-08 18:02:02
1;52,5765241982239;0,983027390535102;0,932318631145133;0,916494751121858;7866,46817890036;0,462651;1,80253529367226e-12;2,621045;0;1;14;5;"SMJYB01_20220408_175202.wav";2022-04-08 17:57:02
1;52,5340417844842;0,983027245054295;0,931608670306217;0,915796704639815;7867,53474418298;0,451597;1,80275579120597e-12;2,64209;1;1;15;1;"SMJYB01_20220408_182202.wav";2022-04-08 18:47:02
1;52,5098015805393;0,983038464903764;0,93141721344873;0,91561894769358;7874,49136024615;0,468016;1,80322713146513e-12;2,611391;1;1;15;2;"SMJYB01_20220408_182202.wav";2022-04-08 18:42:02
1;52,6301328502217;0,983028510613178;0,931729266644677;0,915916433284425;7869,07989171286;0,462004;1,80236535802697e-12;2,622647;1;1;15;3;"SMJYB01_20220408_182202.wav";2022-04-08 18:37:02
1;52,5473045594153;0,983034535426988;0,931430260700072;0,915628113609933;7869,42053545107;0,458931;1,80234991750915e-12;2,628305;1;1;15;4;"SMJYB01_20220408_182202.wav";2022-04-08 18:32:02
1;52,601675270703;0,983009648507558;0,931516151743795;0,915689364904781;7869,06558206404;0,45586;1,80123759266993e-12;2,634079;1;1;15;5;"SMJYB01_20220408_182202.wav";2022-04-08 18:27:02
1;52,5343584133498;0,983024109358648;0,931352574822813;0,915542035364079;7868,62851120837;0,452347;1,80235905233187e-12;2,640742;1;1;16;1;"SMJYB01_20220408_185202.wav";2022-04-08 19:17:02
1;52,5572726897618;0,983002981558241;0,931623834714212;0,915789007214793;7872,79433078956;0,453306;1,80307952216743e-12;2,639783;1;1;16;2;"SMJYB01_20220408_185202.wav";2022-04-08 19:12:02
1;52,4165719146327;0,983039252643273;0,931089342124227;0,915297371025917;7866,08107969789;0,463551;1,80216943362684e-12;2,619393;1;1;16;3;"SMJYB01_20220408_185202.wav";2022-04-08 19:07:02
1;52,3801694012917;0,983027003777382;0,930921422175244;0,915120896393109;7864,98508677884;0,470871;1,80339293434622e-12;2,605823;1;1;16;4;"SMJYB01_20220408_185202.wav";2022-04-08 19:02:02
1;52,3719118480843;0,983034353926667;0,93084035406808;0,915048046070185;7869,06688250863;0,481566;1,80340478879602e-12;2,585994;1;1;16;5;"SMJYB01_20220408_185202.wav";2022-04-08 18:57:02
1;52,580342849862;0,983013857987612;0,931530316264134;0,915707210023227;7872,69710512547;0,469004;1,80241038958334e-12;2,609285;1;1;17;1;"SMJYB01_20220408_192202.wav";2022-04-08 19:47:02
1;52,3719081846468;0,983014045235823;0,930865361281239;0,915053724362976;7867,55221188287;0,461774;1,8026631336712e-12;2,622616;1;1;17;2;"SMJYB01_20220408_192202.wav";2022-04-08 19:42:02
1;52,3668296734839;0,983016653237962;0,93096743645153;0,915156493654108;7874,49229318295;0,481346;1,80048510780458e-12;2,586316;1;1;17;3;"SMJYB01_20220408_192202.wav";2022-04-08 19:37:02
